conceptId,conceptEdge,contentId,requiresId,trainsId,topic,parentId,moduleGoalsId,level,elementId1,elementId2,elementId3,elementId4,elementId5,contentNodeTitle,description
4,,,,"4",Seil,1,,3,,,,,,,
,,1,,"4",Analyse,4,,1,,,,,,,
,,2,,"4",Entwurf,4,,2,,,,,,,
,,3,,"4",Bewertung,4,,3,,,,,,,
5,,,,"5",Bogen,1,,3,,,,,,,
,,4,,"5",Analyse,5,,1,,,,,,,
,,5,,"5",Entwurf,5,,2,,,,,,,
,,6,,"5",Bewertung,5,,3,,,,,,,
6,,,,"6",Rahmen,1,,3,,,,,,,
,,7,,"6",Analyse,6,,1,,,,,,,
,,8,,"6",Entwurf,6,,2,,,,,,,
,,9,,"6",Bewertung,6,,3,,,,,,,
7,,,,"7",Flächentragwerk,1,,3,,,,,,,
,,10,,"7",Analyse,7,,1,,,,,,,
,,11,,"7",Entwurf,7,,2,,,,,,,
,,12,,"7",Bewertung,7,,3,,,,,,,
